City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Shepstone,-30.7414,30.455,68.86,76,79,19.82,ZA,1632791641
Mehamn,71.0357,27.8492,52.47,75,100,10.27,NO,1632791343
Collie,-33.3667,116.15,55.98,67,51,6.8,AU,1632791641
Kudahuvadhoo,2.6708,72.8944,82.49,77,100,16.26,MV,1632791642
Ostrovnoy,68.0531,39.5131,46.02,88,100,4.97,RU,1632791387
Las Vegas,36.175,-115.1372,91.62,34,1,14.97,US,1632791526
Razgrad,43.5333,26.5167,59.88,83,100,8.75,BG,1632791643
Oskemen,49.9565,82.6119,37.36,81,75,2.24,KZ,1632791643
Darnah,32.767,22.6367,73.67,74,6,17.2,LY,1632791643
Ahipara,-35.1667,173.1667,56.68,64,12,13.42,NZ,1632791246
Barra de Tecoanapa,16.5167,-98.75,80.67,77,83,4.14,MX,1632791644
Trairi,-3.2778,-39.2689,79.41,83,57,11.59,BR,1632791516
Pirenópolis,-15.8525,-48.9592,80.64,32,98,4.0,BR,1632791644
Khovu-Aksy,51.1333,93.6,25.84,47,100,3.04,RU,1632791645
Ak-Dovurak,51.1833,90.6,30.96,43,100,1.01,RU,1632791645
Geraldton,-28.7667,114.6,63.01,82,8,4.61,AU,1632791268
Pisco,-13.7,-76.2167,62.65,77,0,12.66,PE,1632791279
Port Moresby,-9.4431,147.1797,84.76,68,44,11.97,PG,1632791253
Zarautz,43.2844,-2.1699,64.81,88,100,2.84,ES,1632791646
Port Pirie,-33.1833,138.0167,73.49,30,100,14.9,AU,1632791646
Shanghai,31.2222,121.4581,82.87,77,0,2.24,CN,1632791600
Salalah,17.0151,54.0924,78.89,94,20,4.61,OM,1632791247
Cockburn Town,21.4612,-71.1419,83.14,72,11,8.97,TC,1632791647
Verkhnyaya Inta,65.9811,60.3094,37.13,74,100,11.7,RU,1632791647
Kerrville,30.0474,-99.1403,83.55,53,1,6.91,US,1632791647
Snåase,64.2457,12.3778,51.37,69,10,10.58,NO,1632791648
Hervey Bay,-25.2986,152.8535,73.04,58,100,12.66,AU,1632791436
Bukama,-9.2,25.85,71.44,85,100,5.5,CD,1632791648
Aykhal,66.0,111.5,31.24,90,100,17.27,RU,1632791428
Sokolo,14.7328,-6.1219,83.7,42,0,7.78,ML,1632791648
Emba,48.8264,58.1442,50.41,66,100,12.33,KZ,1632791400
Korla,41.7597,86.1469,66.74,24,0,5.06,CN,1632791443
Srednekolymsk,67.45,153.6833,27.81,55,47,17.2,RU,1632791398
Praia,14.9215,-23.5087,78.8,82,6,11.21,CV,1632791649
Husavik,66.0449,-17.3389,37.92,77,100,5.37,IS,1632791384
Aleksandrov Gay,50.147,48.5704,46.04,79,36,9.28,RU,1632791650
Bahía Blanca,-38.7196,-62.2724,47.73,59,0,7.72,AR,1632791650
Mabay,6.0577,124.4666,85.3,64,100,2.64,PH,1632791650
Bloomington,44.8408,-93.2983,68.25,63,1,3.44,US,1632791651
Isangel,-19.55,169.2667,77.72,60,13,10.04,VU,1632791345
Los Llanos de Aridane,28.6585,-17.9182,71.35,83,90,14.97,ES,1632791651
Buraidah,26.326,43.975,73.31,12,74,4.68,SA,1632791357
Vestmannaeyjar,63.4427,-20.2734,37.65,75,38,23.47,IS,1632791652
Coos Bay,43.3665,-124.2179,57.92,97,40,10.36,US,1632791652
Harbin,45.75,126.65,64.69,75,13,12.39,CN,1632791652
Gobabis,-22.45,18.9667,65.53,19,52,12.37,NA,1632791653
Lincoln,40.8,-96.667,83.55,50,1,1.99,US,1632791563
Yumen,40.2833,97.2,64.63,18,0,4.32,CN,1632791275
Nouna,12.7333,-3.8667,79.03,59,1,5.84,BF,1632791653
Nauta,-4.5061,-73.5757,78.19,65,39,1.03,PE,1632791654
Poya,-21.35,165.15,73.27,61,63,9.55,NC,1632791654
Mackay,-21.15,149.2,80.69,64,57,11.56,AU,1632791400
Seybaplaya,19.65,-90.6667,83.66,76,11,12.93,MX,1632791655
Gravelbourg,49.8834,-106.5512,74.86,21,14,8.7,CA,1632791655
Kemin,42.7846,75.6892,52.45,63,21,1.21,KG,1632791655
Totolapan,18.5167,-96.1833,82.33,90,68,5.61,MX,1632791655
Villa Rica,33.7321,-84.9191,69.55,95,0,2.06,US,1632791656
Muros,42.7762,-9.0603,61.84,90,100,6.08,ES,1632791656
Adolfo López Mateos,28.4667,-107.3,59.94,58,8,9.75,MX,1632791656
Banda Aceh,5.5577,95.3222,79.72,84,100,9.8,ID,1632791657
Casper,42.8666,-106.3131,72.72,17,1,1.01,US,1632791649
Laguna,38.421,-121.4238,79.45,63,90,8.01,US,1632791411
San Vicente,-26.6167,-54.1333,70.9,48,45,0.47,AR,1632791657
Omboué,-1.5746,9.2618,76.32,84,100,4.29,GA,1632791658
Giyani,-23.3025,30.7187,69.84,40,0,2.39,ZA,1632791658
Auki,-8.7676,160.7034,85.89,64,79,2.93,SB,1632791386
Daru,-9.0763,143.2092,81.23,75,85,14.54,PG,1632791658
Namatanai,-3.6667,152.4333,85.46,67,78,5.06,PG,1632791295
Codrington,-38.2667,141.9667,65.37,59,97,5.03,AU,1632791269
Medicine Hat,50.0501,-110.6683,75.22,34,100,1.99,CA,1632791659
Novosheshminsk,55.0651,51.2338,36.32,79,11,14.12,RU,1632791659
Samarai,-10.6167,150.6667,80.22,81,71,12.21,PG,1632791436
Tenosique,17.4833,-91.4333,78.37,82,93,1.9,MX,1632791660
Houma,29.5958,-90.7195,80.01,91,100,5.93,US,1632791382
Bitung,1.4451,125.1824,86.85,70,24,9.13,ID,1632791391
Carhuamayo,-10.9167,-76.0333,35.76,94,29,2.68,PE,1632791660
Jinan,36.6683,116.9972,66.6,95,100,3.56,CN,1632791660
Tshikapa,-6.4167,20.8,69.01,94,100,0.85,CD,1632791398
Krasnosel'kup,65.7,82.4667,30.67,81,76,8.39,RU,1632791661
Payson,40.0444,-111.7321,80.35,36,1,3.44,US,1632791661
Istmina,5.1605,-76.684,74.3,97,100,2.28,CO,1632791662
Kholmogory,64.2229,41.656,32.11,95,48,2.73,RU,1632791662
Lubango,-14.9172,13.4925,59.43,65,64,3.22,AO,1632791662
Brandon,27.9378,-82.2859,82.31,76,1,1.01,US,1632791413
Santa Fe,-31.6333,-60.7,73.02,66,10,1.99,AR,1632791397
Los Barrios,36.1848,-5.4921,64.31,72,86,2.46,ES,1632791663
Mīzan Teferī,6.9833,35.5833,59.61,93,100,3.11,ET,1632791663
Galle,6.0367,80.217,80.04,83,97,18.68,LK,1632791664
Sinnamary,5.3833,-52.95,79.95,83,99,10.47,GF,1632791393
Zaraza,9.3503,-65.3245,80.22,68,75,3.11,VE,1632791664
Salinópolis,-0.6136,-47.3561,78.91,83,0,9.19,BR,1632791664
Lander,42.833,-108.7307,76.01,19,1,5.75,US,1632791665
Maniitsoq,65.4167,-52.9,34.45,43,0,7.52,GL,1632791414
Avera,33.194,-82.5271,71.71,61,0,5.39,US,1632791332
Sola,-13.8833,167.55,79.3,80,56,18.72,VU,1632791396
Saint-Junien,45.8833,0.9,53.85,97,86,1.79,FR,1632791666
Kaura Namoda,12.5898,6.5779,76.71,67,13,7.18,NG,1632791666
Christchurch,-43.5333,172.6333,57.99,53,0,5.75,NZ,1632791405
Kirovsk,48.6375,38.6428,45.77,86,51,3.69,UA,1632791666
Kulhudhuffushi,6.6221,73.07,80.83,76,100,19.93,MV,1632791667
Gambo,4.6482,22.2633,68.86,99,100,0.4,CF,1632791667
Feicheng,35.2606,117.9675,72.21,77,86,3.96,CN,1632791667
Mugur-Aksy,50.35,90.5,22.23,78,100,4.74,RU,1632791668
Novoagansk,61.9449,76.6625,31.53,93,30,6.96,RU,1632791668
Comodoro Rivadavia,-45.8667,-67.5,51.66,35,0,16.11,AR,1632791418
Arkhangelsk,64.5401,40.5433,32.11,100,20,0.0,RU,1632791669
Yakeshi,49.2833,120.7333,52.29,61,100,4.45,CN,1632791669
Bay Roberts,47.5999,-53.2648,59.32,93,14,5.01,CA,1632791669
Nikel,69.4128,30.222,44.78,87,83,10.36,RU,1632791670
Batagay-Alyta,67.8006,130.4114,30.52,82,94,3.85,RU,1632791670
Kahului,20.8947,-156.47,85.96,74,40,23.02,US,1632791253
Birjand,32.8663,59.2211,65.61,25,0,4.05,IR,1632791670
San Luis,-33.295,-66.3356,54.18,72,0,20.11,AR,1632791272
Jiuquan,39.7432,98.5174,65.03,18,0,4.68,CN,1632791671
Palu,-0.8917,119.8707,85.53,72,100,2.1,ID,1632791671
Mount Gambier,-37.8333,140.7667,66.97,46,95,8.3,AU,1632791348
Tofield,53.3668,-112.6686,69.66,35,0,3.89,CA,1632791672
Turukhansk,65.8167,87.9833,32.68,73,97,7.05,RU,1632791672
Dongsheng,39.8161,109.9776,60.73,54,0,17.67,CN,1632791672
Westport,41.1415,-73.3579,74.05,69,1,1.01,US,1632791673
Saint Lawrence,36.0553,14.204,76.86,85,97,1.01,MT,1632791673
Calamar,10.2511,-74.9146,84.15,87,37,7.47,CO,1632791674
Sorong,-0.8833,131.25,82.53,76,100,4.81,ID,1632791674
Griffith,41.5284,-87.4237,70.27,87,1,4.0,US,1632791674
Wajir,1.7471,40.0573,73.67,69,98,16.15,KE,1632791675
Morgan City,29.6994,-91.2068,80.01,94,1,5.75,US,1632791675
Kolpashevo,58.3131,82.9089,31.05,95,33,4.76,RU,1632791675
Denpasar,-8.65,115.2167,82.06,74,20,12.66,ID,1632791676
Wakefield,53.6809,-1.499,52.63,75,61,10.56,GB,1632791676
Bariloche,-41.1456,-71.3082,38.95,56,0,2.3,AR,1632791426
Bulancak,40.9372,38.2291,60.62,88,75,0.0,TR,1632791677
Pundaguitan,6.3711,126.1689,84.45,71,33,6.35,PH,1632791677
Shwebo,22.5667,95.7,77.76,89,100,3.94,MM,1632791677
Kenai,60.5544,-151.2583,49.03,44,1,4.61,US,1632791246
Port Macquarie,-31.4333,152.9167,74.37,51,51,13.78,AU,1632791678
Boundiali,9.5217,-6.4869,71.13,90,22,2.19,CI,1632791678
Bathsheba,13.2167,-59.5167,83.01,74,40,8.05,BB,1632791678
Candolim,15.5181,73.7626,75.07,91,100,5.21,IN,1632791679
Vuktyl,63.8567,57.3094,35.87,74,100,4.68,RU,1632791679
Boshnyakovo,49.6333,142.1667,57.4,91,100,13.6,RU,1632791679
Moose Factory,51.2585,-80.6094,46.15,84,100,8.12,CA,1632791345
Gamba,-2.65,10.0,76.08,85,100,3.53,GA,1632791680
Grindavik,63.8424,-22.4338,37.87,75,75,23.02,IS,1632791324
Angoche,-16.2325,39.9086,71.6,87,8,6.96,MZ,1632791680
Beşikdüzü,41.052,39.2284,64.29,82,60,5.01,TR,1632791681
Astoria,46.1879,-123.8313,58.87,77,1,1.01,US,1632791681
Kjøllefjord,70.9457,27.3465,53.51,72,100,12.8,NO,1632791681
Statesville,35.7826,-80.8873,70.23,54,1,0.0,US,1632791682
Mount Darwin,-16.7725,31.5838,62.62,58,23,2.66,ZW,1632791682
Grenå,56.4158,10.8783,57.42,97,100,14.16,DK,1632791682
Mazagão,-0.115,-51.2894,84.25,74,1,7.4,BR,1632791683
Mount Isa,-20.7333,139.5,92.97,10,96,12.66,AU,1632791334
Tekkali,18.6167,84.2333,78.57,89,96,3.87,IN,1632791683
Opuwo,-18.0607,13.84,63.16,43,5,5.21,NA,1632791437
Saryg-Sep,51.5,95.6,23.58,77,100,3.13,RU,1632791684
Luena,-11.7833,19.9167,59.04,81,67,3.31,AO,1632791684
Umluj,25.0213,37.2685,80.76,69,1,11.83,SA,1632791147
Mogadishu,2.0371,45.3438,77.07,83,71,17.76,SO,1632791559
Fomboni,-12.28,43.7425,76.53,73,1,0.94,KM,1632791685
Safford,32.834,-109.7076,76.12,50,90,5.75,US,1632791685
Byron Bay,-28.65,153.6167,69.91,48,100,7.27,AU,1632791420
Kalevala,65.2,31.1667,43.45,90,20,3.87,RU,1632791685
Mossamedes,-15.1961,12.1522,62.67,88,39,1.05,AO,1632791445
Melfort,52.8667,-104.6177,66.96,35,7,3.51,CA,1632791686
Vallenar,-28.5708,-70.7581,69.94,34,0,0.83,CL,1632791676
Camabatela,-8.1881,15.375,62.26,90,100,1.21,AO,1632791686
Nanortalik,60.1432,-45.2371,34.48,68,0,2.19,GL,1632791261
Concordia,-31.393,-58.0209,66.11,76,1,7.4,AR,1632791382
Alice Springs,-23.7,133.8833,83.75,15,75,9.22,AU,1632791367
Tessalit,20.1986,1.0114,84.78,15,0,7.67,ML,1632791333
Coxim,-18.5067,-54.76,87.17,36,88,5.66,BR,1632791687
Agogo,6.8,-1.0819,68.54,99,100,2.48,GH,1632791688
Kaeo,-35.1,173.7833,59.32,60,7,10.85,NZ,1632791344
Faya,18.3851,42.4509,59.52,25,6,4.0,SA,1632791688
Puerto del Rosario,28.5004,-13.8627,73.15,83,1,19.57,ES,1632791352
Pineville,31.3224,-92.4343,78.87,82,1,8.05,US,1632791689
Tsimlyansk,47.6461,42.1019,50.2,81,99,7.31,RU,1632791689
Atasū,48.6814,71.6433,50.43,54,81,8.57,KZ,1632791689
Fare,-16.7,-151.0167,79.12,76,9,16.35,PF,1632791298
City of San Pedro,14.35,121.0167,88.11,70,62,2.75,PH,1632791690
Svetlaya,46.5389,138.3297,61.7,84,100,8.1,RU,1632791690
Mīnāb,27.1467,57.0801,83.89,73,6,1.23,IR,1632791690
Nioro,13.35,-15.75,74.88,86,14,15.01,GM,1632791347
Mahibadhoo,3.7833,72.9667,81.36,80,100,17.29,MV,1632791691
Mayo,38.8876,-76.5119,73.98,68,1,1.99,US,1632791691
La Paz,-16.5,-68.15,49.98,71,20,5.75,BO,1632791692
Igarka,67.4667,86.5833,30.99,67,48,2.19,RU,1632791692
Thinadhoo,0.5333,72.9333,83.07,72,84,14.83,MV,1632791296
Puksoozero,62.5903,40.6066,41.58,92,100,1.57,RU,1632791692
Ayan,56.45,138.1667,49.21,65,66,5.41,RU,1632791693
Pilar,-9.5972,-35.9567,78.73,92,75,3.83,BR,1632791693
Egvekinot,66.3167,-179.1667,27.07,81,100,2.95,RU,1632791410
Panabá,21.2833,-88.2667,76.32,90,1,7.85,MX,1632791693
Canavieiras,-15.675,-38.9472,71.87,88,6,4.74,BR,1632791694
North Bend,43.4065,-124.2243,57.85,97,40,10.36,US,1632791258
Uruaçu,-14.5247,-49.1408,85.01,32,100,2.48,BR,1632791694
